ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
REQUEST	77		Welcome	1590958751862	1590958751864	OK	 
USER	VerMensajesTestNegativo	159	START	1590958751866	1590958751866
REQUEST	159		Welcome	1590958751866	1590958751868	OK	 
USER	VerMensajeTestPositivo	78	START	1590958751876	1590958751876
REQUEST	78		Welcome	1590958751876	1590958751878	OK	 
USER	VerMensajesTestNegativo	160	START	1590958751887	1590958751887
REQUEST	160		Welcome	1590958751887	1590958751889	OK	 
USER	VerMensajeTestPositivo	79	START	1590958751908	1590958751908
REQUEST	79		Welcome	1590958751908	1590958751911	OK	 
USER	VerMensajesTestNegativo	161	START	1590958751919	1590958751919
REQUEST	161		Welcome	1590958751919	1590958751921	OK	 
USER	VerMensajeTestPositivo	80	START	1590958751930	1590958751930
REQUEST	80		Welcome	1590958751930	1590958751932	OK	 
USER	VerMensajesTestNegativo	162	START	1590958751941	1590958751941
REQUEST	162		Welcome	1590958751941	1590958751943	OK	 
USER	VerMensajeTestPositivo	81	START	1590958751956	1590958751956
USER	VerMensajeTestPositivo	163	START	1590958751956	1590958751956
USER	VerMensajesTestNegativo	203	START	1590958751957	1590958751957
REQUEST	81		Welcome	1590958751956	1590958751959	OK	 
REQUEST	163		Welcome	1590958751957	1590958751959	OK	 
REQUEST	203		Welcome	1590958751957	1590958751960	OK	 
USER	VerMensajeTestPositivo	164	START	1590958751999	1590958751999
USER	VerMensajesTestNegativo	204	START	1590958751999	1590958751999
REQUEST	164		Welcome	1590958752000	1590958752002	OK	 
REQUEST	204		Welcome	1590958752000	1590958752002	OK	 
USER	VerMensajesTestNegativo	205	START	1590958752020	1590958752020
USER	VerMensajeTestPositivo	165	START	1590958752020	1590958752020
REQUEST	205		Welcome	1590958752020	1590958752022	OK	 
REQUEST	165		Welcome	1590958752020	1590958752022	OK	 
USER	VerMensajeTestPositivo	166	START	1590958752046	1590958752046
USER	VerMensajesTestNegativo	206	START	1590958752046	1590958752046
REQUEST	206		Welcome	1590958752047	1590958752049	OK	 
REQUEST	166		Welcome	1590958752046	1590958752049	OK	 
USER	VerMensajesTestNegativo	207	START	1590958752068	1590958752068
USER	VerMensajeTestPositivo	167	START	1590958752068	1590958752068
REQUEST	167		Welcome	1590958752068	1590958752071	OK	 
REQUEST	207		Welcome	1590958752068	1590958752071	OK	 
USER	VerMensajeTestPositivo	168	START	1590958752100	1590958752100
USER	VerMensajesTestNegativo	208	START	1590958752100	1590958752100
REQUEST	168		Welcome	1590958752100	1590958752104	OK	 
REQUEST	208		Welcome	1590958752100	1590958752104	OK	 
USER	VerMensajesTestNegativo	209	START	1590958752121	1590958752121
USER	VerMensajeTestPositivo	169	START	1590958752121	1590958752121
REQUEST	169		Welcome	1590958752122	1590958752128	OK	 
REQUEST	209		Welcome	1590958752122	1590958752128	OK	 
USER	VerMensajesTestNegativo	210	START	1590958752146	1590958752146
USER	VerMensajeTestPositivo	170	START	1590958752146	1590958752146
REQUEST	170		Welcome	1590958752146	1590958752149	OK	 
REQUEST	210		Welcome	1590958752146	1590958752149	OK	 
USER	VerMensajesTestNegativo	211	START	1590958752168	1590958752168
USER	VerMensajeTestPositivo	171	START	1590958752167	1590958752167
REQUEST	171		Welcome	1590958752168	1590958752170	OK	 
REQUEST	211		Welcome	1590958752168	1590958752170	OK	 
USER	VerMensajesTestNegativo	212	START	1590958752198	1590958752198
USER	VerMensajeTestPositivo	172	START	1590958752198	1590958752198
REQUEST	172		Welcome	1590958752199	1590958752202	OK	 
REQUEST	212		Welcome	1590958752199	1590958752202	OK	 
USER	VerMensajesTestNegativo	213	START	1590958752220	1590958752220
USER	VerMensajeTestPositivo	173	START	1590958752220	1590958752220
REQUEST	173		Welcome	1590958752220	1590958752222	OK	 
REQUEST	213		Welcome	1590958752220	1590958752222	OK	 
USER	VerMensajesTestNegativo	214	START	1590958752251	1590958752251
USER	VerMensajeTestPositivo	174	START	1590958752251	1590958752251
REQUEST	174		Welcome	1590958752252	1590958752254	OK	 
REQUEST	214		Welcome	1590958752252	1590958752254	OK	 
USER	VerMensajesTestNegativo	215	START	1590958752266	1590958752266
USER	VerMensajeTestPositivo	175	START	1590958752266	1590958752266
REQUEST	175		Welcome	1590958752267	1590958752269	OK	 
REQUEST	215		Welcome	1590958752267	1590958752269	OK	 
USER	VerMensajesTestNegativo	216	START	1590958752298	1590958752298
USER	VerMensajeTestPositivo	176	START	1590958752298	1590958752298
REQUEST	216		Welcome	1590958752298	1590958752302	OK	 
REQUEST	176		Welcome	1590958752298	1590958752302	OK	 
USER	VerMensajeTestPositivo	177	START	1590958752318	1590958752318
USER	VerMensajeTestPositivo	178	START	1590958752351	1590958752351
USER	VerMensajesTestNegativo	218	START	1590958752351	1590958752351
USER	VerMensajesTestNegativo	217	START	1590958752318	1590958752318
REQUEST	218		Welcome	1590958752351	1590958752358	OK	 
REQUEST	177		Welcome	1590958752319	1590958752359	OK	 
REQUEST	178		Welcome	1590958752351	1590958752359	OK	 
REQUEST	217		Welcome	1590958752356	1590958752360	OK	 
USER	VerMensajeTestPositivo	179	START	1590958752366	1590958752366
USER	VerMensajesTestNegativo	219	START	1590958752366	1590958752366
REQUEST	179		Welcome	1590958752366	1590958752369	OK	 
