ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
REQUEST	190		Home	1590851694253	1590851694256	OK	 
REQUEST	170		Home	1590851694253	1590851694256	OK	 
USER	VerDashboardNegativo	191	START	1590851694300	1590851694300
USER	VerDashboardPositivo	171	START	1590851694300	1590851694300
REQUEST	191		Home	1590851694300	1590851694303	OK	 
REQUEST	171		Home	1590851694300	1590851694303	OK	 
USER	VerDashboardNegativo	192	START	1590851694351	1590851694351
USER	VerDashboardPositivo	172	START	1590851694351	1590851694351
REQUEST	192		Home	1590851694352	1590851694355	OK	 
REQUEST	172		Home	1590851694352	1590851694355	OK	 
USER	VerDashboardNegativo	193	START	1590851694404	1590851694404
USER	VerDashboardPositivo	173	START	1590851694404	1590851694404
REQUEST	173		Home	1590851694404	1590851694407	OK	 
REQUEST	193		Home	1590851694404	1590851694407	OK	 
USER	VerDashboardPositivo	174	START	1590851694450	1590851694450
USER	VerDashboardNegativo	194	START	1590851694450	1590851694450
REQUEST	174		Home	1590851694450	1590851694453	OK	 
REQUEST	194		Home	1590851694450	1590851694453	OK	 
USER	VerDashboardNegativo	195	START	1590851694501	1590851694501
USER	VerDashboardPositivo	175	START	1590851694501	1590851694501
REQUEST	175		Home	1590851694501	1590851694504	OK	 
REQUEST	195		Home	1590851694501	1590851694504	OK	 
USER	VerDashboardPositivo	176	START	1590851694552	1590851694552
USER	VerDashboardNegativo	196	START	1590851694552	1590851694552
REQUEST	196		Home	1590851694552	1590851694555	OK	 
REQUEST	176		Home	1590851694552	1590851694555	OK	 
USER	VerDashboardNegativo	197	START	1590851694603	1590851694603
USER	VerDashboardPositivo	177	START	1590851694603	1590851694603
REQUEST	197		Home	1590851694604	1590851694607	OK	 
REQUEST	177		Home	1590851694604	1590851694607	OK	 
USER	VerDashboardPositivo	178	START	1590851694655	1590851694655
USER	VerDashboardNegativo	198	START	1590851694655	1590851694655
REQUEST	178		Home	1590851694655	1590851694658	OK	 
REQUEST	198		Home	1590851694655	1590851694658	OK	 
USER	VerDashboardPositivo	179	START	1590851694701	1590851694701
USER	VerDashboardNegativo	199	START	1590851694701	1590851694701
REQUEST	179		Home	1590851694701	1590851694705	OK	 
REQUEST	199		Home	1590851694701	1590851694705	OK	 
USER	VerDashboardNegativo	200	START	1590851694753	1590851694753
USER	VerDashboardPositivo	180	START	1590851694753	1590851694753
REQUEST	200		Home	1590851694754	1590851694757	OK	 
REQUEST	180		Home	1590851694754	1590851694757	OK	 
USER	VerDashboardNegativo	201	START	1590851694800	1590851694800
REQUEST	201		Home	1590851694800	1590851694803	OK	 
USER	VerDashboardPositivo	181	START	1590851694800	1590851694800
REQUEST	181		Home	1590851694815	1590851694826	OK	 
USER	VerDashboardPositivo	182	START	1590851694853	1590851694853
USER	VerDashboardNegativo	202	START	1590851694853	1590851694853
REQUEST	182		Home	1590851694853	1590851694857	OK	 
REQUEST	202		Home	1590851694853	1590851694857	OK	 
USER	VerDashboardPositivo	203	START	1590851694900	1590851694900
USER	VerDashboardNegativo	223	START	1590851694900	1590851694900
REQUEST	223		Home	1590851694900	1590851694903	OK	 
REQUEST	203		Home	1590851694900	1590851694903	OK	 
USER	VerDashboardPositivo	204	START	1590851694951	1590851694951
USER	VerDashboardNegativo	224	START	1590851694952	1590851694952
REQUEST	224		Home	1590851694952	1590851694956	OK	 
REQUEST	204		Home	1590851694952	1590851694956	OK	 
USER	VerDashboardPositivo	205	START	1590851695003	1590851695003
USER	VerDashboardNegativo	225	START	1590851695003	1590851695003
REQUEST	225		Home	1590851695004	1590851695007	OK	 
REQUEST	205		Home	1590851695004	1590851695007	OK	 
USER	VerDashboardPositivo	206	START	1590851695050	1590851695050
USER	VerDashboardNegativo	226	START	1590851695050	1590851695050
REQUEST	206		Home	1590851695050	1590851695053	OK	 
REQUEST	226		Home	1590851695050	1590851695053	OK	 
USER	VerDashboardPositivo	207	START	1590851695101	1590851695101
USER	VerDashboardNegativo	227	START	1590851695101	1590851695101
REQUEST	227		Home	1590851695101	1590851695104	OK	 
REQUEST	207		Home	1590851695101	1590851695104	OK	 
USER	VerDashboardNegativo	228	START	1590851695153	1590851695153
USER	VerDashboardPositivo	208	START	1590851695153	1590851695153
REQUEST	208		Home	1590851695153	1590851695156	OK	 
REQUEST	228		Home	1590851695153	1590851695157	OK	 
USER	VerDashboardPositivo	209	START	1590851695204	1590851695204
USER	VerDashboardNegativo	229	START	1590851695204	1590851695204
REQUEST	229		Home	1590851695204	1590851695207	OK	 
REQUEST	209		Home	1590851695204	1590851695207	OK	 
USER	VerDashboardPositivo	210	START	1590851695251	1590851695251
USER	VerDashboardNegativo	230	START	1590851695251	1590851695251
REQUEST	230		Home	1590851695251	1590851695254	OK	 
