ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
REQUEST	34		jquery.min.js	1590262741132	1590262741138	OK	 
REQUEST	34		petclinic.css	1590262741131	1590262741139	OK	 
REQUEST	34		jquery-ui.min.css	1590262741132	1590262741140	OK	 
REQUEST	34		jquery-ui.theme.min.css	1590262741132	1590262741141	OK	 
REQUEST	34		jquery-ui.min.js	1590262741133	1590262741141	OK	 
REQUEST	13		Home	1590262741137	1590262741142	OK	 
REQUEST	34		bootstrap.min.js	1590262741137	1590262741142	OK	 
REQUEST	13		favicon.png	1590262741145	1590262741148	OK	 
REQUEST	13		spring-pivotal-logo.png	1590262741146	1590262741152	OK	 
REQUEST	13		jquery.min.js	1590262741147	1590262741154	OK	 
REQUEST	13		petclinic.css	1590262741145	1590262741154	OK	 
REQUEST	13		jquery-ui.min.css	1590262741146	1590262741155	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590262741146	1590262741156	OK	 
REQUEST	13		jquery-ui.min.js	1590262741148	1590262741156	OK	 
REQUEST	13		bootstrap.min.js	1590262741153	1590262741156	OK	 
REQUEST	33		jquery.min.js	1590262741032	1590262741177	OK	 
REQUEST	12		jquery.min.js	1590262741052	1590262741206	OK	 
USER	VerFiestasQueAsistoNegativo	35	START	1590262741224	1590262741224
REQUEST	35		Home	1590262741225	1590262741227	OK	 
REQUEST	35		favicon.png	1590262741230	1590262741233	OK	 
REQUEST	35		spring-pivotal-logo.png	1590262741231	1590262741235	OK	 
USER	VerFiestasQueAsistoPositivo	14	START	1590262741236	1590262741236
REQUEST	35		petclinic.css	1590262741230	1590262741236	OK	 
REQUEST	35		jquery-ui.min.css	1590262741231	1590262741237	OK	 
REQUEST	35		jquery-ui.theme.min.css	1590262741231	1590262741238	OK	 
REQUEST	35		jquery.min.js	1590262741231	1590262741239	OK	 
REQUEST	35		jquery-ui.min.js	1590262741233	1590262741239	OK	 
REQUEST	35		bootstrap.min.js	1590262741236	1590262741240	OK	 
REQUEST	14		Home	1590262741236	1590262741240	OK	 
REQUEST	14		favicon.png	1590262741242	1590262741245	OK	 
REQUEST	14		spring-pivotal-logo.png	1590262741244	1590262741248	OK	 
REQUEST	14		petclinic.css	1590262741243	1590262741249	OK	 
REQUEST	14		jquery-ui.min.css	1590262741243	1590262741250	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590262741243	1590262741251	OK	 
REQUEST	14		jquery.min.js	1590262741244	1590262741251	OK	 
REQUEST	14		jquery-ui.min.js	1590262741245	1590262741252	OK	 
REQUEST	14		bootstrap.min.js	1590262741249	1590262741252	OK	 
REQUEST	34		jquery.min.js	1590262741130	1590262741279	OK	 
REQUEST	13		jquery.min.js	1590262741144	1590262741283	OK	 
USER	VerFiestasQueAsistoNegativo	36	START	1590262741323	1590262741323
REQUEST	36		Home	1590262741323	1590262741326	OK	 
REQUEST	36		favicon.png	1590262741329	1590262741331	OK	 
USER	VerFiestasQueAsistoPositivo	15	START	1590262741334	1590262741334
REQUEST	36		spring-pivotal-logo.png	1590262741330	1590262741335	OK	 
REQUEST	36		petclinic.css	1590262741329	1590262741336	OK	 
REQUEST	36		jquery-ui.theme.min.css	1590262741329	1590262741337	OK	 
REQUEST	36		jquery-ui.min.js	1590262741332	1590262741338	OK	 
REQUEST	36		jquery-ui.min.css	1590262741329	1590262741339	OK	 
REQUEST	36		jquery.min.js	1590262741330	1590262741340	OK	 
REQUEST	15		Home	1590262741335	1590262741340	OK	 
REQUEST	36		bootstrap.min.js	1590262741335	1590262741341	OK	 
REQUEST	15		favicon.png	1590262741343	1590262741347	OK	 
REQUEST	15		spring-pivotal-logo.png	1590262741345	1590262741349	OK	 
REQUEST	15		petclinic.css	1590262741344	1590262741350	OK	 
REQUEST	15		jquery-ui.min.css	1590262741344	1590262741351	OK	 
REQUEST	15		jquery-ui.theme.min.css	1590262741345	1590262741351	OK	 
REQUEST	15		jquery.min.js	1590262741345	1590262741352	OK	 
REQUEST	15		jquery-ui.min.js	1590262741348	1590262741353	OK	 
REQUEST	15		bootstrap.min.js	1590262741350	1590262741353	OK	 
REQUEST	35		jquery.min.js	1590262741230	1590262741372	OK	 
REQUEST	14		jquery.min.js	1590262741242	1590262741392	OK	 
USER	VerFiestasQueAsistoNegativo	37	START	1590262741427	1590262741427
REQUEST	37		Home	1590262741428	1590262741431	OK	 
USER	VerFiestasQueAsistoPositivo	16	START	1590262741432	1590262741432
REQUEST	16		Home	1590262741433	1590262741436	OK	 
REQUEST	37		favicon.png	1590262741433	1590262741437	OK	 
REQUEST	37		petclinic.css	1590262741433	1590262741439	OK	 
REQUEST	37		jquery.min.js	1590262741434	1590262741442	OK	 
REQUEST	37		jquery-ui.min.css	1590262741434	1590262741442	OK	 
REQUEST	16		favicon.png	1590262741439	1590262741443	OK	 
REQUEST	37		jquery-ui.theme.min.css	1590262741434	1590262741444	OK	 
REQUEST	37		spring-pivotal-logo.png	1590262741434	1590262741445	OK	 
REQUEST	37		jquery-ui.min.js	1590262741437	1590262741445	OK	 
REQUEST	37		bootstrap.min.js	1590262741441	1590262741446	OK	 
REQUEST	16		spring-pivotal-logo.png	1590262741442	1590262741447	OK	 
REQUEST	16		jquery-ui.min.css	1590262741440	1590262741448	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590262741441	1590262741449	OK	 
REQUEST	16		jquery.min.js	1590262741442	1590262741449	OK	 
REQUEST	16		jquery-ui.min.js	1590262741444	1590262741449	OK	 
REQUEST	16		petclinic.css	1590262741439	1590262741450	OK	 
REQUEST	16		bootstrap.min.js	1590262741447	1590262741451	OK	 
REQUEST	36		jquery.min.js	1590262741328	1590262741467	OK	 
REQUEST	15		jquery.min.js	1590262741343	1590262741483	OK	 
USER	VerFiestasQueAsistoNegativo	38	START	1590262741527	1590262741527
REQUEST	38		Home	1590262741527	1590262741530	OK	 
REQUEST	38		favicon.png	1590262741533	1590262741536	OK	 
REQUEST	38		spring-pivotal-logo.png	1590262741534	1590262741538	OK	 
USER	VerFiestasQueAsistoPositivo	17	START	1590262741538	1590262741538
REQUEST	38		petclinic.css	1590262741533	1590262741539	OK	 
REQUEST	38		jquery-ui.min.css	1590262741533	1590262741540	OK	 
REQUEST	38		jquery-ui.theme.min.css	1590262741534	1590262741540	OK	 
REQUEST	38		jquery.min.js	1590262741534	1590262741541	OK	 
REQUEST	38		jquery-ui.min.js	1590262741536	1590262741542	OK	 
REQUEST	38		bootstrap.min.js	1590262741538	1590262741542	OK	 
REQUEST	17		Home	1590262741539	1590262741543	OK	 
REQUEST	17		favicon.png	1590262741545	1590262741547	OK	 
REQUEST	17		spring-pivotal-logo.png	1590262741546	1590262741550	OK	 
REQUEST	17		petclinic.css	1590262741545	1590262741551	OK	 
REQUEST	17		jquery-ui.min.css	1590262741545	1590262741551	OK	 
REQUEST	17		jquery-ui.theme.min.css	1590262741545	1590262741552	OK	 
REQUEST	17		jquery.min.js	1590262741546	1590262741552	OK	 
REQUEST	17		jquery-ui.min.js	1590262741547	1590262741552	OK	 
REQUEST	17		bootstrap.min.js	1590262741550	1590262741553	OK	 
REQUEST	37		jquery.min.js	1590262741432	1590262741573	OK	 
REQUEST	16		jquery.min.js	1590262741439	1590262741576	OK	 
USER	VerFiestasQueAsistoNegativo	39	START	1590262741625	1590262741625
REQUEST	39		Home	1590262741625	1590262741628	OK	 
REQUEST	39		favicon.png	1590262741630	1590262741633	OK	 
REQUEST	39		spring-pivotal-logo.png	1590262741631	1590262741635	OK	 
REQUEST	39		petclinic.css	1590262741630	1590262741636	OK	 
USER	VerFiestasQueAsistoPositivo	18	START	1590262741636	1590262741636
REQUEST	39		jquery-ui.min.css	1590262741630	1590262741637	OK	 
REQUEST	39		jquery-ui.theme.min.css	1590262741630	1590262741637	OK	 
REQUEST	39		jquery.min.js	1590262741631	1590262741637	OK	 
REQUEST	39		jquery-ui.min.js	1590262741633	1590262741638	OK	 
REQUEST	39		bootstrap.min.js	1590262741636	1590262741638	OK	 
REQUEST	18		Home	1590262741636	1590262741640	OK	 
REQUEST	18		favicon.png	1590262741642	1590262741645	OK	 
