ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
USER	AceptarFiesta	135	START	1590562785775	1590562785775
USER	AceptarFiesta	136	START	1590562785777	1590562785777
USER	AceptarFiesta	137	START	1590562785777	1590562785777
USER	DenegarFiesta	539	START	1590562785777	1590562785777
USER	DenegarFiesta	542	START	1590562785778	1590562785778
USER	DenegarFiesta	540	START	1590562785777	1590562785777
USER	DenegarFiesta	541	START	1590562785778	1590562785778
REQUEST	62		Home	1590562785421	1590562785780	OK	 
USER	AceptarFiesta	139	START	1590562785780	1590562785780
REQUEST	54		Home	1590562785356	1590562785781	OK	 
USER	DenegarFiesta	544	START	1590562785780	1590562785780
USER	AceptarFiesta	138	START	1590562785780	1590562785780
USER	DenegarFiesta	543	START	1590562785780	1590562785780
REQUEST	127		Home	1590562785721	1590562785785	OK	 
REQUEST	135		Home	1590562785776	1590562785785	OK	 
REQUEST	435		Home	1590562785263	1590562785785	OK	 
REQUEST	40		Home	1590562785348	1590562785791	OK	 
REQUEST	74		Home	1590562785460	1590562785791	OK	 
REQUEST	137		Home	1590562785778	1590562785791	OK	 
REQUEST	50		Home	1590562785338	1590562785791	OK	 
REQUEST	476		Home	1590562785453	1590562785791	OK	 
REQUEST	78		Home	1590562785514	1590562785791	OK	 
REQUEST	24		Home	1590562785203	1590562785793	OK	 
REQUEST	60		Home	1590562785467	1590562785794	OK	 
REQUEST	56		Home	1590562785358	1590562785794	OK	 
REQUEST	454		Home	1590562785322	1590562785795	OK	 
REQUEST	79		Home	1590562785518	1590562785795	OK	 
REQUEST	28		Home	1590562785228	1590562785796	OK	 
REQUEST	70		Home	1590562785451	1590562785796	OK	 
USER	AceptarFiesta	140	START	1590562785796	1590562785796
USER	AceptarFiesta	141	START	1590562785796	1590562785796
USER	DenegarFiesta	546	START	1590562785797	1590562785797
REQUEST	460		Home	1590562785357	1590562785797	OK	 
REQUEST	34		Home	1590562785280	1590562785799	OK	 
REQUEST	491		Home	1590562785529	1590562785799	OK	 
USER	DenegarFiesta	545	START	1590562785796	1590562785796
USER	AceptarFiesta	143	START	1590562785800	1590562785800
USER	DenegarFiesta	548	START	1590562785800	1590562785800
USER	AceptarFiesta	142	START	1590562785800	1590562785800
REQUEST	474		Home	1590562785451	1590562785801	OK	 
USER	DenegarFiesta	547	START	1590562785800	1590562785800
REQUEST	487		Home	1590562785525	1590562785804	OK	 
REQUEST	450		Home	1590562785321	1590562785804	OK	 
REQUEST	66		Home	1590562785446	1590562785806	OK	 
REQUEST	486		Home	1590562785528	1590562785807	OK	 
REQUEST	479		Home	1590562785465	1590562785807	OK	 
REQUEST	485		Home	1590562785524	1590562785807	OK	 
REQUEST	482		Home	1590562785465	1590562785808	OK	 
REQUEST	489		Home	1590562785526	1590562785809	OK	 
REQUEST	140		Home	1590562785796	1590562785810	OK	 
REQUEST	494		Home	1590562785538	1590562785810	OK	 
REQUEST	89		Home	1590562785537	1590562785812	OK	 
REQUEST	90		Home	1590562785542	1590562785813	OK	 
REQUEST	94		Home	1590562785554	1590562785813	OK	 
REQUEST	97		Home	1590562785563	1590562785814	OK	 
REQUEST	466		Home	1590562785420	1590562785815	OK	 
REQUEST	493		Home	1590562785539	1590562785816	OK	 
REQUEST	495		Home	1590562785545	1590562785816	OK	 
USER	DenegarFiesta	549	START	1590562785816	1590562785816
USER	DenegarFiesta	550	START	1590562785817	1590562785817
USER	AceptarFiesta	144	START	1590562785816	1590562785816
REQUEST	95		Home	1590562785555	1590562785818	OK	 
USER	AceptarFiesta	146	START	1590562785818	1590562785818
USER	AceptarFiesta	147	START	1590562785818	1590562785818
USER	DenegarFiesta	552	START	1590562785820	1590562785820
USER	DenegarFiesta	551	START	1590562785820	1590562785820
USER	AceptarFiesta	145	START	1590562785816	1590562785816
REQUEST	483		Home	1590562785521	1590562785823	OK	 
