ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
REQUEST	193		Welcome	1590177278452	1590177278455	OK	 
USER	CrearAnuncioTestPositivo	168	START	1590177278467	1590177278467
REQUEST	168		Welcome	1590177278467	1590177278470	OK	 
USER	CrearAnuncioTestPositivo	169	START	1590177278498	1590177278498
USER	CrearAnuncioTestNegativo	194	START	1590177278498	1590177278498
REQUEST	169		Welcome	1590177278499	1590177278501	OK	 
REQUEST	194		Welcome	1590177278499	1590177278501	OK	 
USER	CrearAnuncioTestNegativo	195	START	1590177278529	1590177278529
REQUEST	195		Welcome	1590177278530	1590177278533	OK	 
USER	CrearAnuncioTestPositivo	170	START	1590177278545	1590177278545
REQUEST	170		Welcome	1590177278545	1590177278548	OK	 
USER	CrearAnuncioTestNegativo	196	START	1590177278576	1590177278576
USER	CrearAnuncioTestPositivo	171	START	1590177278578	1590177278578
REQUEST	196		Welcome	1590177278577	1590177278580	OK	 
REQUEST	171		Welcome	1590177278578	1590177278582	OK	 
USER	CrearAnuncioTestNegativo	197	START	1590177278608	1590177278608
REQUEST	197		Welcome	1590177278608	1590177278612	OK	 
USER	CrearAnuncioTestPositivo	172	START	1590177278623	1590177278623
REQUEST	172		Welcome	1590177278624	1590177278627	OK	 
USER	CrearAnuncioTestNegativo	198	START	1590177278654	1590177278654
REQUEST	198		Welcome	1590177278655	1590177278658	OK	 
USER	CrearAnuncioTestPositivo	173	START	1590177278658	1590177278658
REQUEST	173		Welcome	1590177278658	1590177278661	OK	 
USER	CrearAnuncioTestNegativo	199	START	1590177278688	1590177278688
REQUEST	199		Welcome	1590177278688	1590177278691	OK	 
USER	CrearAnuncioTestPositivo	174	START	1590177278701	1590177278701
REQUEST	174		Welcome	1590177278701	1590177278704	OK	 
USER	CrearAnuncioTestNegativo	200	START	1590177278732	1590177278732
REQUEST	200		Welcome	1590177278733	1590177278735	OK	 
USER	CrearAnuncioTestPositivo	175	START	1590177278748	1590177278748
REQUEST	175		Welcome	1590177278749	1590177278752	OK	 
USER	CrearAnuncioTestNegativo	201	START	1590177278768	1590177278768
REQUEST	201		Welcome	1590177278768	1590177278771	OK	 
USER	CrearAnuncioTestPositivo	176	START	1590177278779	1590177278779
REQUEST	176		Welcome	1590177278780	1590177278782	OK	 
USER	CrearAnuncioTestNegativo	202	START	1590177278810	1590177278810
REQUEST	202		Welcome	1590177278811	1590177278814	OK	 
USER	CrearAnuncioTestPositivo	177	START	1590177278826	1590177278826
REQUEST	177		Welcome	1590177278826	1590177278829	OK	 
USER	CrearAnuncioTestNegativo	228	START	1590177278842	1590177278842
USER	CrearAnuncioTestPositivo	203	START	1590177278842	1590177278842
REQUEST	203		Welcome	1590177278842	1590177278845	OK	 
REQUEST	228		Welcome	1590177278842	1590177278845	OK	 
USER	CrearAnuncioTestNegativo	229	START	1590177278878	1590177278878
USER	CrearAnuncioTestPositivo	204	START	1590177278878	1590177278878
REQUEST	229		Welcome	1590177278878	1590177278882	OK	 
REQUEST	204		Welcome	1590177278879	1590177278885	OK	 
USER	CrearAnuncioTestPositivo	205	START	1590177278920	1590177278920
